;T(entropy,1,0.01,0.4)sensitivity;T(entropy,1,0.01,0.4)specificity;T(entropy,1,0.01,0.4)precision;T(entropy,1,0.01,0.4)accuracy
1708661255722239460,1,2,20,(30, 75, 50);66.43;82.86;79.17;74.64;64.29;80.71;78.26;72.5;62.14;81.43;77.27;71.79;61.43;81.43;77.27;71.43
1107158645723204584,1,2,20,(30, 75, 50);60.71;61.43;60.71;61.07;60.0;60.71;60.71;60.36;61.43;58.57;58.62;60.0;61.43;59.29;60.71;60.36
avg;64.18;77.45;74.47;70.82;63.78;77.24;73.92;70.51;62.86;77.45;74.46;70.15;63.57;76.74;74.1;70.15
std;6.66;8.74;7.97;6.88;7.1;8.52;7.96;7.02;8.12;8.97;8.64;6.89;7.91;9.06;8.06;7.09
7933197233428195239,1,2,20,(30, 45, 30);65.71;71.43;69.23;68.57;68.57;71.43;70.37;70.0;67.86;72.14;70.37;70.0;65.0;74.29;72.0;69.64
1735640862149943821,1,2,20,(30, 45, 30);67.86;75.71;73.08;71.79;64.29;77.14;75.0;70.71;65.0;80.0;75.0;72.5;67.14;74.29;73.08;70.71
3245434972983169324,1,2,20,(30, 45, 30);57.86;67.86;64.0;62.86;62.14;63.57;62.96;62.86;60.0;70.0;68.0;65.0;59.29;68.57;65.38;63.93
1708661255722239460,1,2,20,(30, 45, 30);70.0;86.43;83.33;78.21;70.0;87.86;86.96;78.93;71.43;90.71;86.96;81.07;71.43;90.71;86.96;81.07
1107158645723204584,1,2,20,(30, 45, 30);64.29;58.57;60.0;61.43;67.86;62.14;63.33;65.0;65.0;59.29;62.07;62.14;67.14;60.0;63.33;63.57
avg;64.29;74.28;71.76;69.29;65.24;74.28;72.47;69.76;64.76;75.36;72.72;70.06;64.64;75.0;72.82;69.82
std;4.63;10.74;9.22;6.36;4.37;10.48;9.04;5.6;4.62;10.73;8.37;6.57;5.16;10.63;8.46;6.34
7933197233428195239,1,2,40,(30, 75, 50);68.57;79.29;76.0;73.93;67.86;80.71;79.17;74.29;67.86;80.0;76.0;73.93;67.86;77.86;76.0;72.86
1735640862149943821,1,2,40,(30, 75, 50);64.29;78.57;75.0;71.43;62.86;76.43;72.0;69.64;62.86;79.29;75.0;71.07;64.29;78.57;75.0;71.43
3245434972983169324,1,2,40,(30, 75, 50);55.71;73.57;69.57;64.64;57.86;70.0;66.67;63.93;52.86;75.71;68.18;64.29;53.57;69.29;62.5;61.43
1708661255722239460,1,2,40,(30, 75, 50);63.57;81.43;78.26;72.5;63.57;84.29;81.82;73.93;65.71;81.43;78.26;73.57;60.71;82.14;77.27;71.43
1107158645723204584,1,2,40,(30, 75, 50);62.86;60.0;62.07;61.43;62.86;60.0;62.07;61.43;60.71;57.86;58.62;59.29;62.14;60.0;60.71;61.07
avg;63.0;74.57;72.18;68.79;63.0;74.29;72.35;68.64;62.0;74.86;71.21;68.43;61.71;73.57;70.3;67.64
std;4.64;8.64;6.49;5.44;3.55;9.6;8.28;5.81;5.79;9.73;7.98;6.41;5.29;8.93;8.0;5.87
7933197233428195239,1,2,40,(30, 45, 30);66.43;81.43;79.17;73.93;64.29;77.86;75.0;71.07;66.43;78.57;76.0;72.5;68.57;70.71;70.37;69.64
1735640862149943821,1,2,40,(30, 45, 30);69.29;79.29;76.0;74.29;67.86;75.0;73.08;71.43;68.57;77.14;76.0;72.86;64.29;77.14;75.0;70.71
3245434972983169324,1,2,40,(30, 45, 30);64.29;67.14;66.67;65.71;60.0;65.71;62.96;62.86;59.29;64.29;62.96;61.79;55.71;70.0;66.67;62.86
1708661255722239460,1,2,40,(30, 45, 30);67.86;90.0;86.36;78.93;71.43;90.0;86.96;80.71;71.43;91.43;90.91;81.43;71.43;90.71;86.96;81.07
1107158645723204584,1,2,40,(30, 45, 30);65.0;58.57;60.0;61.79;65.0;57.14;60.0;61.07;65.71;61.43;62.07;63.57;67.14;62.86;65.52;65.0
avg;66.57;75.29;73.64;70.93;65.72;73.14;71.6;69.43;66.29;74.57;73.59;70.43;65.43;74.28;72.9;69.86
std;2.05;12.41;10.4;6.98;4.26;12.46;10.71;7.86;4.5;12.1;11.8;7.95;6.01;10.48;8.69;7.05

;RF(100,all,all)sensitivity;RF(100,all,all)specificity;RF(100,all,all)precision;RF(100,all,all)accuracy;RF(100,all,sqrt)sensitivity;RF(100,all,sqrt)specificity;RF(100,all,sqrt)precision;RF(100,all,sqrt)accuracy;RF(100,sqrt,all)sensitivity;RF(100,sqrt,all)specificity;RF(100,sqrt,all)precision;RF(100,sqrt,all)accuracy;RF(100,sqrt,sqrt)sensitivity;RF(100,sqrt,sqrt)specificity;RF(100,sqrt,sqrt)precision;RF(100,sqrt,sqrt)accuracy
