;T(entropy, 1, 0.01, 0.4);T(entropy, 1, 0.01, 0.6);T(entropy, 1, 0.001, 0.4);T(entropy, 1, 0.001, 0.6);T(entropy, 2, 0.01, 0.4);T(entropy, 2, 0.01, 0.6);T(entropy, 2, 0.001, 0.4);T(entropy, 2, 0.001, 0.6);
1735640862149943821, 1, 2, 40, (30,  45,  30);(28.57, 75.0, 53.57, 61.76, 64.29);(32.14, 67.86, 64.29, 65.52, 66.07);(25.0, 71.43, 53.57, 60.61, 62.5);(32.14, 67.86, 64.29, 65.52, 66.07);(25.0, 71.43, 53.57, 60.61, 62.5);(32.14, 67.86, 64.29, 65.52, 66.07);(32.14, 75.0, 57.14, 63.64, 66.07);(32.14, 67.86, 64.29, 65.52, 66.07);
3245434972983169324, 1, 1, 40, (30,  25,  15);(21.43, 60.71, 60.71, 60.71, 60.71);(25.0, 60.71, 64.29, 62.96, 62.5);(25.0, 60.71, 64.29, 62.96, 62.5);(28.57, 64.29, 64.29, 64.29, 64.29);(21.43, 60.71, 60.71, 60.71, 60.71);(21.43, 57.14, 64.29, 61.54, 60.71);(28.57, 67.86, 60.71, 63.33, 64.29);(25.0, 60.71, 64.29, 62.96, 62.5);
3245434972983169324, 1, 1, 60, (30,  75,  50);(32.14, 57.14, 75.0, 69.57, 66.07);(25.0, 82.14, 42.86, 58.97, 62.5);(21.43, 57.14, 64.29, 61.54, 60.71);(25.0, 82.14, 42.86, 58.97, 62.5);(32.14, 60.71, 71.43, 68.0, 66.07);(25.0, 82.14, 42.86, 58.97, 62.5);(17.86, 60.71, 57.14, 58.62, 58.93);(35.71, 78.57, 57.14, 64.71, 67.86);
3245434972983169324, 1, 1, 60, (30,  45,  30);(25.0, 64.29, 60.71, 62.07, 62.5);(32.14, 78.57, 53.57, 62.86, 66.07);(25.0, 67.86, 57.14, 61.29, 62.5);(32.14, 78.57, 53.57, 62.86, 66.07);(21.43, 60.71, 60.71, 60.71, 60.71);(32.14, 78.57, 53.57, 62.86, 66.07);(10.71, 57.14, 53.57, 55.17, 55.36);(32.14, 78.57, 53.57, 62.86, 66.07);
3245434972983169324, 1, 2, 20, (30,  75,  50);(28.57, 60.71, 67.86, 65.38, 64.29);(28.57, 64.29, 64.29, 64.29, 64.29);(25.0, 60.71, 64.29, 62.96, 62.5);(28.57, 64.29, 64.29, 64.29, 64.29);(17.86, 53.57, 64.29, 60.0, 58.93);(28.57, 64.29, 64.29, 64.29, 64.29);(25.0, 60.71, 64.29, 62.96, 62.5);(28.57, 64.29, 64.29, 64.29, 64.29);
3245434972983169324, 1, 2, 20, (30,  45,  30);(17.86, 60.71, 57.14, 58.62, 58.93);(14.29, 60.71, 53.57, 56.67, 57.14);(10.71, 57.14, 53.57, 55.17, 55.36);(14.29, 60.71, 53.57, 56.67, 57.14);(10.71, 57.14, 53.57, 55.17, 55.36);(14.29, 60.71, 53.57, 56.67, 57.14);(10.71, 57.14, 53.57, 55.17, 55.36);(14.29, 60.71, 53.57, 56.67, 57.14);
3245434972983169324, 1, 2, 40, (30,  75,  50);(21.43, 57.14, 64.29, 61.54, 60.71);(21.43, 60.71, 60.71, 60.71, 60.71);(21.43, 57.14, 64.29, 61.54, 60.71);(21.43, 60.71, 60.71, 60.71, 60.71);(17.86, 53.57, 64.29, 60.0, 58.93);(21.43, 60.71, 60.71, 60.71, 60.71);(17.86, 57.14, 60.71, 59.26, 58.93);(21.43, 60.71, 60.71, 60.71, 60.71);
3245434972983169324, 1, 2, 40, (30,  45,  30);(3.57, 50.0, 53.57, 51.85, 51.79);(21.43, 64.29, 57.14, 60.0, 60.71);(7.14, 53.57, 53.57, 53.57, 53.57);(21.43, 64.29, 57.14, 60.0, 60.71);(14.29, 57.14, 57.14, 57.14, 57.14);(21.43, 64.29, 57.14, 60.0, 60.71);(7.14, 53.57, 53.57, 53.57, 53.57);(21.43, 64.29, 57.14, 60.0, 60.71);
1708661255722239460, 1, 1, 40, (30,  25,  15);(32.14, 64.29, 67.86, 66.67, 66.07);(53.57, 85.71, 67.86, 72.73, 76.79);(32.14, 64.29, 67.86, 66.67, 66.07);(53.57, 85.71, 67.86, 72.73, 76.79);(35.71, 67.86, 67.86, 67.86, 67.86);(53.57, 85.71, 67.86, 72.73, 76.79);(28.57, 57.14, 71.43, 66.67, 64.29);(53.57, 85.71, 67.86, 72.73, 76.79);
1708661255722239460, 1, 1, 60, (30,  75,  50);(42.86, 67.86, 75.0, 73.08, 71.43);(35.71, 60.71, 75.0, 70.83, 67.86);(42.86, 71.43, 71.43, 71.43, 71.43);(35.71, 60.71, 75.0, 70.83, 67.86);(39.29, 67.86, 71.43, 70.37, 69.64);(35.71, 60.71, 75.0, 70.83, 67.86);(42.86, 67.86, 75.0, 73.08, 71.43);(39.29, 64.29, 75.0, 72.0, 69.64);
