;T(entropy,2,0.01,0.4)
1,15,2,-16;(10.0, 60.0, 50.0, 54.55, 55.0);
1,5,1,-17;(-10.0, 30.0, 60.0, 42.86, 45.0);
1,10,1,-17;(0.0, 40.0, 60.0, 50.0, 50.0);
1,15,1,-17;(-10.0, 40.0, 50.0, 44.44, 45.0);
1,5,2,-17;(-10.0, 40.0, 50.0, 44.44, 45.0);
1,10,2,-17;(0.0, 50.0, 50.0, 50.0, 50.0);
1,15,2,-17;(-30.0, 30.0, 40.0, 33.33, 35.0);
1,5,1,-18;(-10.0, 40.0, 50.0, 44.44, 45.0);
1,10,1,-18;(0.0, 60.0, 40.0, 50.0, 50.0);
1,15,1,-18;(20.0, 60.0, 60.0, 60.0, 60.0);
1,5,2,-18;(10.0, 50.0, 60.0, 55.56, 55.0);
1,10,2,-18;(-10.0, 50.0, 40.0, 45.45, 45.0);
1,15,2,-18;(10.0, 50.0, 60.0, 55.56, 55.0);
1,5,1,-19;(10.0, 60.0, 50.0, 54.55, 55.0);
1,10,1,-19;(20.0, 60.0, 60.0, 60.0, 60.0);
1,15,1,-19;(0.0, 50.0, 50.0, 50.0, 50.0);
1,5,2,-19;(40.0, 80.0, 60.0, 66.67, 70.0);
1,10,2,-19;(-20.0, 60.0, 20.0, 42.86, 40.0);
1,15,2,-19;(-20.0, 40.0, 40.0, 40.0, 40.0);
1,5,1,-20;(10.0, 40.0, 70.0, 57.14, 55.0);
1,10,1,-20;(30.0, 60.0, 70.0, 66.67, 65.0);
1,15,1,-20;(20.0, 70.0, 50.0, 58.33, 60.0);
1,5,2,-20;(10.0, 50.0, 60.0, 55.56, 55.0);
1,10,2,-20;(40.0, 50.0, 90.0, 83.33, 70.0);
1,15,2,-20;(0.0, 50.0, 50.0, 50.0, 50.0);
1,5,1,-21;(30.0, 50.0, 80.0, 71.43, 65.0);
1,10,1,-21;(10.0, 50.0, 60.0, 55.56, 55.0);
1,15,1,-21;(10.0, 40.0, 70.0, 57.14, 55.0);
1,5,2,-21;(20.0, 40.0, 80.0, 66.67, 60.0);
1,10,2,-21;(0.0, 50.0, 50.0, 50.0, 50.0);
1,15,2,-21;(0.0, 30.0, 70.0, 50.0, 50.0);
1,5,1,-22;(-30.0, 40.0, 30.0, 36.36, 35.0);
1,10,1,-22;(-20.0, 30.0, 50.0, 37.5, 40.0);
1,15,1,-22;(-10.0, 50.0, 40.0, 45.45, 45.0);
1,5,2,-22;(-10.0, 40.0, 50.0, 44.44, 45.0);
1,10,2,-22;(0.0, 50.0, 50.0, 50.0, 50.0);
1,15,2,-22;(-20.0, 20.0, 60.0, 33.33, 40.0);
1,5,1,-23;(-10.0, 40.0, 50.0, 44.44, 45.0);
1,10,1,-23;(50.0, 80.0, 70.0, 72.73, 75.0);
1,15,1,-23;(-10.0, 70.0, 20.0, 46.67, 45.0);
1,5,2,-23;(-30.0, 40.0, 30.0, 36.36, 35.0);
1,10,2,-23;(-20.0, 50.0, 30.0, 41.67, 40.0);
1,15,2,-23;(-10.0, 40.0, 50.0, 44.44, 45.0);
1,5,1,-24;(-30.0, 30.0, 40.0, 33.33, 35.0);
1,10,1,-24;(-20.0, 60.0, 20.0, 42.86, 40.0);
1,15,1,-24;(-20.0, 50.0, 30.0, 41.67, 40.0);
1,5,2,-24;(-20.0, 40.0, 40.0, 40.0, 40.0);
1,10,2,-24;(20.0, 60.0, 60.0, 60.0, 60.0);
1,15,2,-24;(-10.0, 60.0, 30.0, 46.15, 45.0);
2,5,1,-2;(-20.0, 30.0, 50.0, 37.5, 40.0);
2,10,1,-2;(20.0, 40.0, 80.0, 66.67, 60.0);
2,15,1,-2;(40.0, 50.0, 90.0, 83.33, 70.0);
2,5,2,-2;(100.0, 100.0, 100.0, 100.0, 100.0);
2,10,2,-2;(100.0, 100.0, 100.0, 100.0, 100.0);
2,15,2,-2;(100.0, 100.0, 100.0, 100.0, 100.0);
2,5,1,-3;(50.0, 60.0, 90.0, 85.71, 75.0);
2,10,1,-3;(10.0, 60.0, 50.0, 54.55, 55.0);
2,15,1,-3;(0.0, 50.0, 50.0, 50.0, 50.0);
