min_samples_leaf,min_purity_increase,min_loss_at_leaf,tree_overall_accuracy,tree_mean_accuracy,tree_kappa,forest_overall_accuracy,forest_mean_accuracy,forest_kappa,oob_error
1,0.01,0.4,85.56,98.07,84.52,92.67,99.02,92.14,24.24
1,0.01,0.3,86.67,98.22,85.71,92.0,98.93,91.43,23.93
1,0.01,0.2,87.78,98.37,86.9,94.0,99.2,93.57,24.61
1,0.01,0.1,87.78,98.37,86.9,93.33,99.11,92.86,25.56
1,0.01,0.4,87.78,98.37,86.9,95.11,99.35,94.76,23.07
1,0.01,0.3,90.0,98.67,89.29,94.89,99.32,94.52,23.89
1,0.01,0.2,85.56,98.07,84.52,94.44,99.26,94.05,22.68
1,0.01,0.1,85.56,98.07,84.52,94.67,99.29,94.29,21.41
